Nº Serie;Nombre;Cantidad
11797;Abanico Goblin;1
11336;Acechador del Cráneo;1
11772;Aerosol Erradicador;1
11351;Agresor Oscuro;1
11541;Agua Helada;1
11446;Agujero Oscuro;1
11795;Agujero Trampa de Ácido;3
11300;Akakieisu;1
11260;Akihiron;1
11211;Alas de la Llama Perversa;1
11288;Alcanzador de Garra;1
11587;Alinsection;1
11320;Alma de Hinotama;1
11451;Alma de la Pureza;2
11308;Amante Feliz;1
11383;Árbol Antiguo de la Iluminación;1
11312;Archidemonio Marmot de la Infamia;3
11422;Arco y Flecha de Plateados;1
11367;Armadiller de Piedra;1
11533;Armadillo Dado;1
11415;Armadura de Cañón Láser;2
11295;Armadura de Ojo;1
11266;Armadura Dura;1
11416;Armadura Insecto con Cañón Láser;2
11282;Armaill;1
11398;Artista oscuro;1
11385;Asaltante de Tierra Bugroth;1
11440;Bosque;2
11654;Cañón de Dharma;1
11419;Caparazón de Acero;3
11182;Capullo Evolutivo;1
11251;Caracol con Púas;4
11570;Caracol del Rayo;1
11695;Caracol Mecánico;1
11791;Casa de Cinta Adhesiva;1
11453;Chispas;1
11531;Ciber Comandante;1
11427;Ciber Escudo;1
11523;Ciber Soldado;1
11407;Cíber Soldado de lo Oscuro;1
11618;Ciber-Saurio;1
11530;Ciberstein;1
11459;Círculo Atahechizos;2
11421;Colgante Negro;1
11175;Colmillo Plateado;1
11418;Colmillos de Bestia;1
